Case,gate length,Theta,Phi,Omega,dt,combination,total time,computing time
case1,18,1.296913827321804,0.7514868051681738,3.0129203295516365,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 1, 3, 3, 0]",46.800000000000004,793.7552583217621
case2,11,1.0968638765222487,5.419939294329735,1.3901441603364428,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2]",28.6,4.945300817489624
case3,26,2.2996651664300094,2.393700770942863,2.533976666577017,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 3]",67.60000000000001,55.49765157699585
case4,1,1.1629736302550218,1.8939005239836764,3.4399727256753074,2.6,[-1],2.6,3150.1789133548737
case5,1,1.7529152945950066,4.843938950330631,3.5180099229061383,2.6,[-1],2.6,2957.0782504081726
case6,10,1.106395185326361,1.6907114166970445,5.369618971208912,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",26.0,4.351160764694214
case7,18,1.5741426285817275,1.3684216479391702,6.100764568351766,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 1]",46.800000000000004,24.822277784347534
case8,3,0.41950377643760606,5.323395776227155,2.8714485545551223,2.6,"[2, 2, 4]",7.800000000000001,1.1777667999267578
case9,26,2.2865511583060596,3.5444914667717597,0.8463549458486823,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0]",67.60000000000001,64.13661003112793
case10,1,1.7728963889189169,4.395682898508758,2.8436790516837678,2.6,[-1],2.6,2956.2763073444366
case11,18,1.406285033082751,2.537511217067097,4.190492389020827,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 0]",46.800000000000004,178.984468460083
case12,1,1.0581343434012798,5.496805052549068,1.9217877154289467,2.6,[-1],2.6,3044.136500597
case13,11,1.0529074741253017,2.905981335868407,4.430795623586054,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",28.6,7.111323595046997
case14,18,1.3933806157205444,2.4922595472456104,3.8017214608272347,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 3, 4]",46.800000000000004,155.11021614074707
case15,18,1.4503906367231219,5.110129555064763,4.157645605936909,2.6,"[4, 4, 1, 1, 3, 3, 2, 4, 1, 1, 1, 1, 3, 3, 2, 2, 4, 1]",46.800000000000004,161.91709280014038
case16,33,2.990701277573697,5.309265526706248,4.564099084387444,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2]",85.8,118.7596685886383
case17,33,3.0184931792804455,1.5679746678646744,4.840566983240964,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,96.29381966590881
case18,10,1.0781974237067642,0.5875413014106883,2.2248473369669113,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",26.0,3.7599895000457764
case19,11,0.7693450393549803,4.866600727714807,5.330473439020875,2.6,"[4, 1, 1, 3, 3, 2, 2, 2, 1, 4, 4]",28.6,43.956740617752075
case20,26,2.079501512423568,0.029585103599171214,3.0394207622903187,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 1, 0, 4]",67.60000000000001,736.45015001297
case21,27,2.299982473416866,2.1032239593417477,1.1841396989199457,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 4]",70.2,166.85043287277222
case22,18,1.2335870103934896,4.718138462185683,2.250392902774541,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 3, 4, 0]",46.800000000000004,2310.183513879776
case23,26,2.076180406869311,5.751001635777399,4.531370382379746,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 4, 4, 0, 3]",67.60000000000001,698.5210468769073
case24,11,1.105139709062945,1.7353046003512917,3.704271758070454,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",28.6,4.258166790008545
case25,10,1.0848285876857322,0.18576209640176392,3.2398595035698277,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4]",26.0,3.2368385791778564
case26,10,0.9774627299507855,4.834555057392199,3.953585252590251,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4]",26.0,3.363619565963745
case27,26,2.2233859915938337,6.235423217711201,1.0853514537683189,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1]",67.60000000000001,152.56067609786987
case28,10,0.6687843842638905,0.18405426456538906,4.730280779212963,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 2, 3]",26.0,35.528831005096436
case29,27,2.5990606529198033,5.766779351032066,1.8612772929314796,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",70.2,16.146908283233643
case30,26,2.13533276967741,3.0134068134278107,0.9749043268628654,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 4, 4, 1, 2]",67.60000000000001,335.59664368629456
case31,3,0.47194220569289513,0.9939202198508316,2.052694117411917,2.6,"[3, 2, 2]",7.800000000000001,1.4233956336975098
case32,26,2.2467345347370746,5.386024740336439,2.6889602758354116,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3]",67.60000000000001,80.74963045120239
case33,27,2.3301353617085794,6.07772640541954,1.8509107888288618,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0, 3]",70.2,106.61137580871582
case34,34,2.8163016801019487,5.223871487627233,4.811765731003908,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 3, 4, 2]",88.4,468.64413237571716
case35,1,1.920927255390062,2.2631589445820657,1.452297530946684,2.6,[-1],2.6,2979.6754443645477
case36,27,2.3470137060332097,5.712126273539513,0.044105606144287934,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 4]",70.2,79.58568358421326
case37,11,1.0486955454277935,5.909168959629495,2.1607920254144486,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",28.6,4.049586534500122
case38,18,1.355790629756309,0.8943422456951995,0.9229876619724084,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 3, 1, 1]",46.800000000000004,201.44808745384216
case39,1,1.631144899508738,1.7431596219445396,2.7914731663585495,2.6,[-1],2.6,2845.692553758621
case40,1,1.710394616269499,0.34677668494872327,1.8091918139496275,2.6,[-1],2.6,2981.0314569473267
case41,11,1.0975931745712315,4.9980052027442845,5.290456129229876,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1]",28.6,4.89031195640564
case42,4,0.5269239997710101,1.193832412505128,2.1850830907007532,2.6,"[3, 3, 2, 2]",10.4,1.8077392578125
case43,11,0.9527483195791645,3.6313339389506853,5.243402359334545,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 1]",28.6,8.408016920089722
case44,26,2.1491012140321915,2.241221498070111,4.431657011920449,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 3]",67.60000000000001,364.4182143211365
case45,10,0.6968316030910185,1.8386032111328225,5.854869818841122,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 2, 3]",26.0,34.70735025405884
case46,18,1.7273314860406102,4.199720496732344,2.285180373217349,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2]",46.800000000000004,9.282107830047607
case47,10,0.8766087007494676,2.3860365048916647,1.8116269651424306,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 2, 2]",26.0,5.027205228805542
case48,33,2.9042740046650133,2.0292818148458363,3.962237281260972,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,139.4070816040039
case49,1,1.174699485568904,4.615519373304231,5.854932501699993,2.6,[-1],2.6,2900.4382214546204
case50,27,2.22155756631947,0.7598276639772082,3.550068338723533,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 4, 1, 1]",70.2,320.5851345062256
case51,27,2.215861344490671,0.1842903483887501,0.12285207560777511,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 1, 0, 3, 1]",70.2,422.2224745750427
case52,11,0.8012154274738857,2.546303087051522,4.520726416285334,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 0, 4, 3]",28.6,42.45901966094971
case53,18,1.356776449749169,2.7656870970443665,0.8573291250230832,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 0, 3, 1, 1]",46.800000000000004,212.6978189945221
case54,1,1.694210170247501,5.778586393989989,3.4401387726349366,2.6,[-1],2.6,2940.8085741996765
case55,1,2.0732984734545057,4.4808652150749175,1.682913939884319,2.6,[-1],2.6,2934.852970123291
case56,5,0.5974132210056649,1.617369083106012,2.949389043463622,2.6,"[3, 3, 2, 2, 4]",13.0,2.408306360244751
case57,3,0.4088729501556004,2.6155732306419495,0.5963266067319876,2.6,"[1, 1, 3]",7.800000000000001,0.29796624183654785
case58,1,1.9390273606543766,5.2875219637971025,1.0060737797457213,2.6,[-1],2.6,2793.009796857834
case59,10,0.8137310671751148,0.15921699596117697,5.7286168763701575,2.6,"[1, 1, 3, 3, 2, 2, 4, 1, 1, 0]",26.0,11.924886465072632
case60,18,1.4004025808242189,2.042162800671304,3.083171994273338,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 0, 2, 0, 0]",46.800000000000004,165.2076985836029
case61,1,2.5032528636417206,5.314240174410303,2.6106297602871513,2.6,[-1],2.6,2653.4096009731293
case62,26,2.074608306837597,3.286253551357844,0.8029023743582527,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 2, 0]",67.60000000000001,577.0414485931396
case63,1,1.9161895833146978,5.694618796125921,4.9552331626217505,2.6,[-1],2.6,2618.2761874198914
case64,27,2.3999790092738493,3.4553291410486433,0.10664747253785711,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 4, 3]",70.2,51.11593270301819
case65,10,0.6301064737671529,1.826188741962044,2.786098495699144,2.6,"[2, 2, 4, 4, 1, 3, 3, 3, 4, 3]",26.0,76.10154628753662
case66,11,1.0794402593111756,6.11026959500729,0.5266465384421359,2.6,"[1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3]",28.6,3.9816505908966064
case67,33,2.916169728661608,3.8282096956237006,1.297163232512339,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 1]",85.8,132.82384586334229
case68,1,1.7796507062636857,0.9019210442343711,1.0163092291318152,2.6,[-1],2.6,2742.6622331142426
case69,1,1.200523839412686,1.1720189260414544,1.169917590307042,2.6,[-1],2.6,2731.7459733486176
case70,18,1.4267779604263686,0.5308806268769181,3.1260201365885067,2.6,"[2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 2, 2, 4, 1]",46.800000000000004,110.93195986747742
case71,1,1.145534727522074,0.09671386344396657,1.7101647664152377,2.6,[-1],2.6,2712.653443336487
case72,33,2.89299448976124,5.87908729097113,4.762366325047099,2.6,"[4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2, 2]",85.8,143.25358939170837
case73,2,0.28750559723083746,5.888459160028283,0.9951410686912548,2.6,"[3, 3]",5.2,0.047893524169921875
case74,1,1.8618186328159883,3.8589122193002128,3.2097416324559775,2.6,[-1],2.6,2860.2015314102173
case75,10,0.8813009051190754,2.6442181951279813,4.7531493023239175,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 4]",26.0,5.870394468307495
case76,18,1.5364442542427101,3.25073803231315,0.7513163090726155,2.6,"[3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 0]",46.800000000000004,32.43776535987854
case77,26,2.0729068143147873,2.688447268620057,2.5042079252117633,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 4, 3, 3]",67.60000000000001,696.3576946258545
case78,18,1.6943959741113637,4.066891844002894,4.509061321638077,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.800000000000004,7.128973484039307
case79,33,2.9462217169422207,6.254782633323583,5.368463967773298,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 4, 4]",85.8,105.02335548400879
case80,1,0.21995459191189415,4.801263694914903,4.417616962905381,2.6,[4],2.6,0.008417606353759766
case81,18,1.4988346964442023,5.868944282518519,4.709492706090951,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 0, 4]",46.800000000000004,36.86623287200928
case82,18,1.7321038387843124,3.662424785596263,4.543040743887066,2.6,"[4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1]",46.800000000000004,8.13493037223816
case83,1,1.1733148342402009,2.8209891801029294,0.05204963994184515,2.6,[-1],2.6,2797.766345500946
case84,19,1.4720566327228064,4.910183887203628,0.4007368057000479,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 3, 2, 2, 4, 2, 4, 4, 1, 1, 3]",49.4,599.7065641880035
case85,18,1.3640606957731265,0.5494302429704846,5.412592507292629,2.6,"[1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 2, 2, 4, 0]",46.800000000000004,200.90643692016602
case86,11,0.9921868660727444,5.815817801137314,2.1476930627420483,2.6,"[3, 2, 2, 4, 4, 1, 1, 3, 3, 3, 2]",28.6,5.958108901977539
case87,33,2.8969914638885013,0.9523767530702762,2.534209852819396,2.6,"[2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 3, 3, 2, 2, 4, 4, 1, 1, 1, 3, 3]",85.8,160.85567784309387
